id,time_observed_at,user_id,created_at,quality_grade,license,url,tag_list,description,latitude,longitude,scientific_name,common_name,iconic_taxon_name
87222,,1178,2012-06-04 14:15:57 UTC,research,CC-BY,http://www.inaturalist.org/observations/87222,"","",-34.1866718618,-53.7563180923,Procyon cancrivorus,Mano pelada,Mammalia
1266639,2011-01-10 12:52:33 UTC,1178,2015-03-02 17:25:37 UTC,research,CC-BY,http://www.inaturalist.org/observations/1266639,"","",-34.182589,-53.752885,Cerdocyon thous,Zorro De Monte,Mammalia
6970136,2017-07-08 09:49:38 UTC,477998,2017-07-08 19:43:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6970136,"",,-32.37997905,-53.92697861,Didelphis albiventris,Comadreja overa,Mammalia
6970137,2017-07-08 11:22:24 UTC,477998,2017-07-08 19:44:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6970137,"",,-32.37826382,-54.00389455,Cerdocyon thous,Zorro De Monte,Mammalia
6970138,2017-07-08 11:29:39 UTC,477998,2017-07-08 19:44:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6970138,"",,-32.38082107,-54.01652109,Lycalopex gymnocercus,Zorro Gris,Mammalia
7036602,2017-07-11 10:29:07 UTC,477998,2017-07-13 15:04:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7036602,"",,-32.56051339,-54.57835282,Conepatus chinga,Zorrino,Mammalia
7036604,2017-07-11 10:34:16 UTC,477998,2017-07-13 15:04:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7036604,"",,-32.57085939,-54.58295678,Lycalopex gymnocercus,Zorro Gris,Mammalia
7036618,2017-07-12 09:12:01 UTC,477998,2017-07-13 15:05:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7036618,"",,-32.88746866,-54.88225339,Cerdocyon thous,Zorro De Monte,Mammalia
7253680,2017-07-14 09:50:49 UTC,477998,2017-07-28 22:58:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253680,"",,-33.10663975,-55.38830267,Conepatus chinga,Zorrino,Mammalia
7253681,2017-07-14 12:17:36 UTC,477998,2017-07-28 22:58:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253681,"",,-33.1185303,-55.5745283,Conepatus chinga,Zorrino,Mammalia
7253682,2017-07-15 07:45:00 UTC,477998,2017-07-28 22:58:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253682,"",,-33.28268062,-56.10787207,Conepatus chinga,Zorrino,Mammalia
7253683,2017-07-15 08:04:48 UTC,477998,2017-07-28 22:58:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253683,"",,-33.3044841,-56.16382869,Lycalopex gymnocercus,Zorro Gris,Mammalia
7253685,2017-07-15 08:21:49 UTC,477998,2017-07-28 22:58:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253685,"",,-33.30718358,-56.20851461,Procyon cancrivorus,Mano pelada,Mammalia
7253686,2017-07-15 08:27:43 UTC,477998,2017-07-28 22:58:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253686,"",,-33.30896779,-56.22036774,Conepatus chinga,Zorrino,Mammalia
7253687,2017-07-15 09:21:54 UTC,477998,2017-07-28 22:58:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253687,"",,-33.30060065,-56.34503548,Conepatus chinga,Zorrino,Mammalia
7253689,2017-07-18 12:22:35 UTC,477998,2017-07-28 22:58:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7253689,"",,-34.0341177,-57.36615078,Procyon cancrivorus,Mano pelada,Mammalia
36570841,2019-12-08 23:14:53 UTC,2439287,2019-12-11 22:14:34 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/36570841,"","",-34.7613677979,-54.5437965393,Dasypus novemcinctus,Tatú,Mammalia
36685506,2019-12-14 18:55:46 UTC,2439287,2019-12-15 22:58:35 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/36685506,"",Atropellada,-34.8043991564,-54.582766369,Philodryas aestiva,Culebra Verde,Reptilia
36732048,2016-07-20 19:20:00 UTC,2492337,2019-12-17 18:03:35 UTC,research,,https://www.inaturalist.org/observations/36732048,"","",-32.7215562355,-53.2887977746,Poospiza nigrorufa,Sietevestidos,Aves
36751923,2019-11-09 14:34:00 UTC,1384163,2019-12-18 14:29:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36751923,"","",-34.5731785744,-56.714098795,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
36774218,2019-12-19 11:45:27 UTC,2398513,2019-12-19 11:45:49 UTC,research,CC0,https://www.inaturalist.org/observations/36774218,"",,-32.6637589366,-58.134249828,Rhinella diptycha,Cururú,Amphibia
36862537,2018-05-23 15:47:00 UTC,2439287,2019-12-22 20:34:19 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/36862537,Atropellado,,-34.8110292514,-54.5939578583,Procyon cancrivorus,Mano pelada,Mammalia
37394827,2020-01-07 15:14:17 UTC,2439287,2020-01-08 10:38:57 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/37394827,Atropellado,Atropellado,-34.8102035522,-54.592880249,Lycalopex gymnocercus,Zorro Gris,Mammalia
37394893,2020-01-06 21:18:40 UTC,2439287,2020-01-08 10:41:23 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/37394893,"Exotica, Atropellado",Atropellado,-34.7921180725,-54.5484199524,Lepus europaeus,Liebre europea,Mammalia
37394910,2020-01-03 22:20:45 UTC,2439287,2020-01-08 10:44:22 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/37394910,"",Atropellado,-34.791103363,-54.5820884705,Philodryas patagoniensis,Culebra del Pastizal,Reptilia
38035009,2020-01-24 16:57:00 UTC,2439287,2020-01-27 20:01:48 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/38035009,Atropellado,"",-34.7760973435,-54.5142382756,Lycalopex gymnocercus,Zorro Gris,Mammalia
38294531,2020-02-03 04:57:00 UTC,2439287,2020-02-04 14:36:50 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/38294531,"",,-34.7711261012,-54.5473937318,Lycalopex gymnocercus,Zorro Gris,Mammalia
