Punto,Fecha,Hora,Especie,N,Observaciones
SG01-2,19-06-20,23:17:52,L. gymnocercus,1,pasa por enfrente y luego por atrás en el otro sentido 
SG01-2,20-06-20,05:00:21,L. europaeus,1,
SG01-2,20-06-20,19:26:22,L. gymnocercus,1,merodea buscando en el suelo
SG01-2,22-06-20,02:30:42,L. gymnocercus,1,
SG01-2,22-06-20,04:41:01,L. gymnocercus,1,
SG01-2,22-06-20,21:09:21,L. gymnocercus,1,
SG01-2,25-06-20,22:37:42,C. chinga,1,
SG01-2,26-06-20,02:40:57,C. chinga,1,2 individuos
SG01-2,26-06-20,22:33:21,L. gymnocercus,1,me genera duda con L. gymnocerus pero la forma de la cara y la cola me parece que en C.t
SG01-2,27-06-20,05:17:01,L. europaeus,1,
SG01-2,27-06-20,18:21:59,L. europaeus,1,
SG01-2,27-06-20,19:27:02,C. chinga,1,
SG01-2,27-06-20,20:24:22,L. europaeus,1,
SG01-2,27-06-20,22:34:43,L. europaeus,2,en EK000154 hay 2 ind?
SG01-2,27-06-20,23:22:51,L. gymnocercus,1,acá la cola si parece tener un punto negro mas arriba pero puede ser C.thous
SG01-2,28-06-20,22:02:56,L. europaeus,1,
SG01-2,29-06-20,00:28:12,L. geoffroyi,1,melánico
SG01-2,29-06-20,06:07:27,L. gymnocercus,1,
SG01-2,02-07-20,01:56:06,L. gymnocercus,1,
SG01-2,02-07-20,04:50:50,L. geoffroyi,1,
SG01-2,02-07-20,19:13:27,L. gymnocercus,1,
SG01-3,29-06-20,20:36:49,L. gymnocercus,1,este y el siguiente propongo zorro gris por el hábitat pero no sé... 
SG01-3,02-07-20,03:33:12,L. gymnocercus,1,por la cola pensaría zorro gris
SG03-2,21-06-20,13:21:36,M. gouazoubira,1,por la forma de la cola y porque en movimiento me parecen pintas blancas.
SG03-2,21-06-20,18:52:26,C. thous,1,por las patas negras si.husmeando los cebos
SG03-2,22-06-20,02:07:26,C. thous,1,
SG03-2,22-06-20,18:13:41,C. thous,1,husmeando los cebos. Muy oscuras
SG03-2,23-06-20,03:43:46,C. thous,1,husmando los cebos. 
SG03-2,23-06-20,22:49:00,C. thous,1,
SG03-2,24-06-20,16:03:08,M. gouazoubira,1,borrosa
SG03-2,26-06-20,15:30:47,M. gouazoubira,1,
SG03-2,02-07-20,23:05:45,C. thous,1,
SG04-2,19-06-20,18:32:06,C. chinga,1,
SG04-2,19-06-20,21:26:43,D. novemcinctus,1,
SG04-2,20-06-20,03:28:59,C. chinga,1,
SG04-2,20-06-20,11:21:56,L. europaeus,1,
SG04-2,20-06-20,20:04:16,C. thous,1,arancando presa de pollo (cebo)
SG04-2,22-06-20,03:24:23,C. chinga,1,
SG04-2,23-06-20,19:02:44,L. gymnocercus,1,
SG04-2,25-06-20,23:04:02,C. chinga,1,
SG04-2,26-06-20,19:03:16,L. gymnocercus,1,
SG04-2,26-06-20,19:44:23,L. gymnocercus,1,
SG04-2,28-06-20,02:02:14,M. gouazoubira,1,
SG04-2,02-07-20,22:37:54,C. chinga,1,borrosa
SG04-2,03-07-20,01:55:37,L. gymnocercus,1,
SG04-1,20-06-20,08:19:36,L. gymnocercus,1,
SG04-1,20-06-20,17:05:39,L. europaeus,1,
SG04-1,21-06-20,00:04:06,C. thous,1,huele mismo árbol donde se sube ratón
SG04-1,21-06-20,01:57:04,C. thous,1,"debe ser el mismo ind que vuelve a tratar de treparse al árbol varias veces, pasa por la cámara hasta las 02:18"
SG04-1,21-06-20,04:10:32,C. thous,1,
SG04-1,22-06-20,01:02:37,C. thous,1,
SG04-1,22-06-20,23:02:48,C. thous,1,
SG04-1,22-06-20,23:20:18,L. geoffroyi,1,
SG04-1,24-06-20,23:58:58,C. thous,1,
SG04-1,25-06-20,05:06:37,C. chinga,1,
SG04-1,25-06-20,23:24:51,C. thous,1,
SG04-1,28-06-20,01:29:00,C. chinga,1,
SG04-1,28-06-20,20:08:41,C. thous,1,
SG04-1,29-05-20,07:46:17,C. thous,1,despúes de esta hay varias fotos pero no identifico ningun animal
SG03-1,20-06-20,20:00:36,D. novemcinctus,1,
SG03-1,24-06-20,22:55:09,C. thous,1,
SG03-1,25-06-20,17:44:27,L. europaeus,1,
SG03-1,26-06-20,07:10:26,L. europaeus,1,
SG03-1,27-06-20,23:59:14,C. thous,1,hocico negro
