Punto;Fecha;Hora;Especie;N;Observaciones
SG01-2;2020-06-19;23:17:52;L. gymnocercus;1;pasa por enfrente y luego por atrás en el otro sentido 
SG01-2;2020-06-20;5:00:21;L. europaeus;1;
SG01-2;2020-06-20;19:26:22;L. gymnocercus;1;merodea buscando en el suelo
SG01-2;2020-06-22;2:30:42;L. gymnocercus;1;
SG01-2;2020-06-22;4:41:01;L. gymnocercus;1;
SG01-2;2020-06-22;21:09:21;L. gymnocercus;1;
SG01-2;2020-06-25;22:37:42;C. chinga;1;
SG01-2;2020-06-26;2:40:57;C. chinga;1;2 individuos
SG01-2;2020-06-26;22:33:21;L. gymnocercus;1;me genera duda con L. gymnocerus pero la forma de la cara y la cola me parece que en C.t
SG01-2;2020-06-27;5:17:01;L. europaeus;1;
SG01-2;2020-06-27;18:21:59;L. europaeus;1;
SG01-2;2020-06-27;19:27:02;C. chinga;1;
SG01-2;2020-06-27;20:24:22;L. europaeus;1;
SG01-2;2020-06-27;22:34:43;L. europaeus;2;en EK000154 hay 2 ind?
SG01-2;2020-06-27;23:22:51;L. gymnocercus;1;acá la cola si parece tener un punto negro mas arriba pero puede ser C.thous
SG01-2;2020-06-28;22:02:56;L. europaeus;1;
SG01-2;2020-06-29;0:28:12;L. geoffroyi;1;melánico
SG01-2;2020-06-29;6:07:27;L. gymnocercus;1;
SG01-2;2020-07-02;1:56:06;L. gymnocercus;1;
SG01-2;2020-07-02;4:50:50;L. geoffroyi;1;
SG01-2;2020-07-02;19:13:27;L. gymnocercus;1;
SG01-3;2020-06-29;20:36:49;L. gymnocercus;1;este y el siguiente propongo zorro gris por el hábitat pero no sé... 
SG01-3;2020-07-02;3:33:12;L. gymnocercus;1;por la cola pensaría zorro gris
SG03-2;2020-06-21;13:21:36;M. gouazoubira;1;por la forma de la cola y porque en movimiento me parecen pintas blancas.
SG03-2;2020-06-21;18:52:26;C. thous;1;por las patas negras si.husmeando los cebos
SG03-2;2020-06-22;2:07:26;C. thous;1;
SG03-2;2020-06-22;18:13:41;C. thous;1;husmeando los cebos. Muy oscuras
SG03-2;2020-06-23;3:43:46;C. thous;1;husmando los cebos. 
SG03-2;2020-06-23;22:49:00;C. thous;1;
SG03-2;2020-06-24;16:03:08;M. gouazoubira;1;borrosa
SG03-2;2020-06-26;15:30:47;M. gouazoubira;1;
SG03-2;2020-07-02;23:05:45;C. thous;1;
SG04-2;2020-06-19;18:32:06;C. chinga;1;
SG04-2;2020-06-19;21:26:43;D. novemcinctus;1;
SG04-2;2020-06-20;3:28:59;C. chinga;1;
SG04-2;2020-06-20;11:21:56;L. europaeus;1;
SG04-2;2020-06-20;20:04:16;C. thous;1;arancando presa de pollo (cebo)
SG04-2;2020-06-22;3:24:23;C. chinga;1;
SG04-2;2020-06-23;19:02:44;L. gymnocercus;1;
SG04-2;2020-06-25;23:04:02;C. chinga;1;
SG04-2;2020-06-26;19:03:16;L. gymnocercus;1;
SG04-2;2020-06-26;19:44:23;L. gymnocercus;1;
SG04-2;2020-06-28;2:02:14;M. gouazoubira;1;
SG04-2;2020-07-02;22:37:54;C. chinga;1;borrosa
SG04-2;2020-07-03;1:55:37;L. gymnocercus;1;
SG04-1;2020-06-20;8:19:36;L. gymnocercus;1;
SG04-1;2020-06-20;17:05:39;L. europaeus;1;
SG04-1;2020-06-21;0:04:06;C. thous;1;huele mismo árbol donde se sube ratón
SG04-1;2020-06-21;1:57:04;C. thous;1;debe ser el mismo ind que vuelve a tratar de treparse al árbol varias veces, pasa por la cámara hasta las 02:18
SG04-1;2020-06-21;4:10:32;C. thous;1;
SG04-1;2020-06-22;1:02:37;C. thous;1;
SG04-1;2020-06-22;23:02:48;C. thous;1;
SG04-1;2020-06-22;23:20:18;L. geoffroyi;1;
SG04-1;2020-06-24;23:58:58;C. thous;1;
SG04-1;2020-06-25;5:06:37;C. chinga;1;
SG04-1;2020-06-25;23:24:51;C. thous;1;
SG04-1;2020-06-28;1:29:00;C. chinga;1;
SG04-1;2020-06-28;20:08:41;C. thous;1;
SG04-1;2020-05-29;7:46:17;C. thous;1;despúes de esta hay varias fotos pero no identifico ningun animal
SG03-1;2020-06-20;20:00:36;D. novemcinctus;1;
SG03-1;2020-06-24;22:55:09;C. thous;1;
SG03-1;2020-06-25;17:44:27;L. europaeus;1;
SG03-1;2020-06-26;7:10:26;L. europaeus;1;
SG03-1;2020-06-27;23:59:14;C. thous;1;hocico negro
SG03-1;2020-06-28;21:35:13;D. novemcinctus;1;
SG04-3;2020-06-21;7:02:40;C. thous;1;
SG04-3;2020-06-22;17:17:49;L. europaeus;1;
SG04-3;2020-06-24;3:33:46;C. thous;1;
SG04-3;2020-06-26;16:12:43;L. europaeus;1;
SG04-3;2020-06-26;18:57:45;C. thous;1;
SG04-3;2020-06-26;19:18:51;C. thous;1;
SG04-3;2020-06-27;12:42:06;L. europaeus;1;
SG04-3;2020-06-27;20:09:40;L. gymnocercus;1;por la cola y le veo el vorde del labio blanco 
SG04-3;2020-06-28;17:29:34;L. europaeus;1;
SG01-1;2020-06-23;18:33:17;D. novemcinctus;1;
SG01-1;2020-06-25;18:58:34;D. novemcinctus;1;
SG07-2;2020-07-04;20:28:00;P. cancrivorus;1;
SG07-1;2020-07-06;20:54:00;C. thous;1;tratando de agarrar el otro cebo
SG07-1;2020-07-07;21:39:00;C. thous;1;
SG07-1;2020-07-08;20:04:00;C. thous;1;
SG07-3;2020-07-05;20:06:00;C. thous;2;en varias fotos se observan 2 individuos oliendo cebos
SG07-3;2020-07-06;5:28:00;C. thous;1;
SG07-3;2020-07-07;22:06:00;C. thous;1;
SG04-1;2020-07-03;20:50:16;D. novemcinctus;1;
SG04-1;2020-07-04;3:24:46;L. gymnocercus;1;
SG04-1;2020-07-06;23:37:36;C. thous;1;
SG04-1;2020-07-08;23:54:54;C. chinga;1;
SG04-1;2020-07-15;6:05:24;L. gymnocercus;1;
SG04-1;2020-07-19;7:47:36;L. gymnocercus;1;
SG04-1;2020-07-20;7:10:52;L. wiedii;1;
SG04-1;2020-07-20;17:44:45;L. wiedii;1;
SG04-1;2020-07-23;6:27:17;L. geoffroyi;1;
SG04-3;2020-07-06;15:14:14;L. europaeus;1;
SG04-3;2020-07-08;8:21:00;L. europaeus;1;
SG04-3;2020-07-17;2:52:56;L. geoffroyi;1;
SG04-3;2020-07-17;23:35:27;D. novemcinctus;1;
SG04-3;2020-07-22;17:59:23;L. europaeus;1;
SG03-1;2020-07-04;3:56:49;C. thous;1;
SG03-1;2020-07-05;23:44:50;C. thous;1;
SG03-1;2020-07-07;8:12:24;L. europaeus;1;
SG03-1;2020-07-10;8:46:50;L. europaeus;1;
SG03-1;2020-07-10;17:18:59;L. europaeus;1;
SG03-1;2020-07-10;21:08:14;C. thous;1;
SG03-1;2020-07-12;6:45:18;M. gouazoubira;1;
SG03-1;2020-07-12;19:21:05;D. novemcinctus;1;
SG03-1;2020-07-16;18:17:54;L. europaeus;1;
SG03-1;2020-07-17;5:08:59;C. thous;1;
SG03-1;2020-07-17;21:23:20;D. novemcinctus;1;
SG03-1;2020-07-30;13:36:19;A. axis;1;
SG03-1;2020-07-30;16:02:31;A. axis;1;
SG03-1;2020-08-02;4:52:12;L. geoffroyi;1;melánico
SG03-1;2020-08-03;22:55:17;D. hybridus;1;
SG03-1;2020-08-04;18:24:49;L. europaeus;1;
SG03-1;2020-08-10;22:51:32;C. thous;1;
SG03-1;2020-08-14;7:22:00;L. europaeus;1;
SG03-1;2020-08-14;18:29:09;L. europaeus;1;
SG01-1;2020-07-15;15:20:38;C. thous;1;
SG03-3;2020-07-03;20:49:00;C. thous;1;
SG03-3;2020-07-19;18:11:00;L. europaeus;1;
SG03-3;2020-07-22;22:28:00;C. thous;1;
SG01-3;2020-07-10;1:26:44;L. europaeus;1;
SG03-3;2020-06-22;21:54:35;C. thous;1;
LR01_1;2020-11-13;21:33:00;D. novemcinctus;1;
LR01_1;2020-11-14;1:01:00;D. novemcinctus;1;
LR01_1;2020-11-14;1:06:00;D. novemcinctus;1;
LR01_1;2020-11-14;19:48:00;C. chinga;1;4 mins. Entra y sale de cueva en el suelo
LR01_1;2020-11-15;3:58:00;D. novemcinctus;1;
LR01_1;2020-11-18;23:20:00;D. albiventris;1;oliendo cebo
LR01_1;2020-11-19;0:51:00;D. albiventris;1;
LR01_1;2020-11-20;23:44:00;L. geoffroyi;1;
LR01_1;2020-11-21;15:20:00;L. gymnocercus;1;
LR01_1;2020-11-22;7:50:00;L. gymnocercus;1;
LR01_1;2020-11-23;6:02:00;L. gymnocercus;1;
LR01_1;2020-11-23;18:38:00;L. geoffroyi;1;
LR01_1;2020-11-24;23:17:00;D. albiventris;1;
LR01_1;2020-11-25;0:14:00;D. novemcinctus;1;
LR01_1;2020-11-25;10:56:00;L. gymnocercus;1;
LR01_1;2020-11-25;16:22:00;A. axis;1;
LR01_1;2020-11-26;16:17:00;L. gymnocercus;1;cola rara
LR01_1;2020-11-28;14:04:00;L. gymnocercus;1;Hembra con mamas inflamadas, flaca, recientemente parida. Ingresa por la izquierda, se echa frente a cámara y se va por trillo de la derecha. 
LR01_1;2020-11-29;0:24:00;D. novemcinctus;1;
LR01_1;2020-11-29;16:07:00;L. gymnocercus;1;
LR01_1;2020-11-29;20:18:00;C. chinga;1;
LR01_1;2020-11-29;20:39:00;E. sexcinctus;1;peludo
LR01_1;2020-11-30;21:34:00;D. novemcinctus;1;
LR01_1;2020-12-01;5:09:00;E. sexcinctus;1;
LR01_1;2020-12-01;5:20:00;L. gymnocercus;1;
LR01_1;2020-12-01;7:29:00;L. gymnocercus;1;Hembra madre con presa en la boca.
LR01_1;2020-12-01;22:04:00;D. albiventris;1;huele mismo hoyo que olió el zorrillo
LR01_1;2020-12-01;23:14:00;D. albiventris;1;parece un ind distinto al anterior, es mas claro y menos peludo
LR01_1;2020-12-01;23:59:00;D. novemcinctus;1;
LR01_1;2020-12-02;5:53:00;L. gymnocercus;1;
LR01_1;2020-12-02;6:54:00;L. gymnocercus;1;
LR01_1;2020-12-02;6:58:00;L. gymnocercus;1;con presa en la boca, ¿nutria?
LR01_1;2020-12-02;20:08:00;C. chinga;1;
LR01_1;2020-12-03;2:23:00;E. sexcinctus;1;
LR01_1;2020-12-03;5:42:00;L. gymnocercus;1;
LR01_1;2020-12-03;11:07:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-03;13:16:00;L. gymnocercus;1;adulto que se sienta frente a cámara
LR01_1;2020-12-04;17:16:00;L. gymnocercus;1;cola rara
LR01_1;2020-12-05;9:08:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-06;4:56:00;L. gymnocercus;1;
LR01_1;2020-12-06;6:59:00;L. gymnocercus;1;Cola fina con presa en la boca.
LR01_1;2020-12-06;7:00:00;L. gymnocercus;1;Adulto ¿hembra madre? con cachorro 
LR01_1;2020-12-06;15:23:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-06;23:12:00;E. sexcinctus;1;
LR01_1;2020-12-06;23:15:00;L. gymnocercus;1;hembra madre
LR01_1;2020-12-07;2:26:00;C. chinga;1;
LR01_1;2020-12-07;6:59:00;L. gymnocercus;1;hembra madre
LR01_1;2020-12-07;9:03:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-07;13:29:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-08;1:54:00;L. gymnocercus;1;cola fina
LR01_1;2020-12-08;5:46:00;L. gymnocercus;1;¿cola fina?
LR01_1;2020-12-08;6:20:00;L. gymnocercus;1;cola fina
LR01_1;2020-12-08;6:23:00;C. chinga;1;
LR01_1;2020-12-08;6:37:00;L. gymnocercus;1;Cola fina con presa en la boca.
LR01_1;2020-12-08;6:42:00;L. gymnocercus;1;cola fina, va y viene. 5 min
LR01_1;2020-12-08;10:24:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-08;14:40:00;L. gymnocercus;2;cachorro y adulto. Primero cachorro solo, luego ingresa adulto y se sientan frente a cámara. 3 min
LR01_1;2020-12-08;22:21:00;L. gymnocercus;1;cola fina
LR01_1;2020-12-09;0:01:00;E. sexcinctus;1;
LR01_1;2020-12-09;5:43:00;L. gymnocercus;1;cola fina
LR01_1;2020-12-10;0:38:00;E. sexcinctus;1;
LR01_1;2020-12-10;3:04:00;L. gymnocercus;1;
LR01_1;2020-12-10;4:35:00;D. novemcinctus;1;
LR01_1;2020-12-10;6:24:00;L. gymnocercus;1;cola rara
LR01_1;2020-12-10;7:34:00;L. gymnocercus;1;cachorro punta de cola negra
LR01_1;2020-12-10;7:57:00;L. gymnocercus;1;cachorro cola negra
LR01_1;2020-12-10;16:36:00;L. gymnocercus;1;cachorro punta de cola negra
LR01_1;2020-12-10;16:39:00;L. gymnocercus;3;"3 ind, madre con mamas inflamadas con los 2 cachorros. Por estas fotos, se obs que ""cola fina"" es la madre"
LR01_1;2020-12-10;19:21:00;L. gymnocercus;1;cachorro
LR01_1;2020-12-10;20:10:00;L. gymnocercus;1;
LR01_1;2020-12-11;0:21:00;L. gymnocercus;1;
LR01_1;2020-12-11;1:01:00;L. gymnocercus;1;
LR01_1;2020-12-11;6:25:00;L. gymnocercus;3;3 ind, 2 adultos y un cachorro
LR01_1;2020-12-11;6:30:00;L. gymnocercus;1;hembra madre se sienta frente a cámara
LR01_1;2020-12-11;7:07:00;L. gymnocercus;1;F. rufus
LR01_1;2020-12-11;7:09:00;L. gymnocercus;1;cachorro cola negra
LR01_1;2020-12-11;17:11:00;L. gymnocercus;1;cachorro cola negra
LR01_1;2020-12-11;23:48:00;L. gymnocercus;1;
LR01_1;2020-12-12;8:27:00;L. gymnocercus;3;3 ind, madre con los 2 cachorros
