Punto;Fecha;Hora;Especie;N;Observaciones
SG1-02;2020-06-19;23:17:52;L. gymnocerus;1;pasa por enfrente y luego por atrás en el otro sentido 
SG1-02;2020-06-20;5:00:21;L. europeus;1;
SG1-02;2020-06-20;11:02:09;N. maculosa ;1;??
SG1-02;2020-06-20;15:46:25;R. magnirostris;1;
SG1-02;2020-06-20;15:48:51;C. plancus;2;en las primeras 6 fotos aparecen 2 y luego 2 minutos mas tarde aparece uno que observa algo arriba del árbol
SG1-02;2020-06-20;19:26:22;L. gymnocerus;1;merodea buscando en el suelo
SG1-02;2020-06-21;18:40:44;NN;1;C. thous?
SG1-02;2020-06-22;2:30:42;L. gymnocerus;1;
SG1-02;2020-06-22;4:41:01;L. gymnocerus;1;
SG1-02;2020-06-22;12:54:39;L. verreauxi;1;??
SG1-02;2020-06-22;12:58:42;L. verreauxi;2;grupo de 3 o 2
SG1-02;2020-06-22;14:40:20;L. verreauxi;1;solitaria
SG1-02;2020-06-22;21:09:21;L. gymnocerus;1;
SG1-02;2020-06-25;22:37:42;C. chinga;1;
SG1-02;2020-06-26;2:40:57;C. chinga;1;2 individuos
SG1-02;2020-06-26;22:33:21;L. gymnocerus;1;me genera duda con L. gymnocerus pero la forma de la cara y la cola me parece que en C.t
SG1-02;2020-06-27;5:17:01;L. europeus;1;
SG1-02;2020-06-27;13:32:41;ave;1;??
SG1-02;2020-06-27;18:21:59;L. europeus;1;
SG1-02;2020-06-27;19:27:02;C. chinga;1;
SG1-02;2020-06-27;20:24:22;L. europeus;1;
SG1-02;2020-06-27;22:34:43;L. europeus;2;en EK000154 hay 2 ind?
SG1-02;2020-06-27;23:22:51;L. gymnocerus;1;acá la cola si parece tener un punto negro mas arriba pero puede ser C.thous
SG1-02;2020-06-28;11:22:52;ave;1;
SG1-02;2020-06-28;22:02:56;L. europeus;1;
SG1-02;2020-06-29;0:28:12;L. geoffroyi;1;melánico
SG1-02;2020-06-29;6:07:27;L. gymnocerus;1;
SG1-02;2020-07-02;1:56:06;L. gymnocerus;1;
SG1-02;2020-07-02;4:50:50;L. geoffroyi;1;
SG1-02;2020-07-02;19:13:27;L. gymnocerus;1;
SG1-03;2020-06-20;10:37:50;R. magnirostris;1;???
SG1-03;2020-06-20;10:56:57;R. magnirostris;1;???
SG1-03;2020-06-21;8:02:16;N. maculosa ;1;??
SG1-03;2020-06-28;12:31:02;N. maculosa ;1;??
SG1-03;2020-06-29;20:36:49;L. gymnocerus;1;este y el siguiente propongo zorro gris por el hábitat pero no sé... 
SG1-03;2020-07-02;3:33:12;L. gymnocerus;1;por la cola pensaría zorro gris
SG3-02;2020-06-21;13:21:36;M. gouazoubira;1;por la forma de la cola y porque en movimiento me parecen pintas blancas.
SG3-02;2020-06-21;18:52:26;C. thous;1;por las patas negras si.husmeando los cebos
SG3-02;2020-06-22;2:07:26;C. thous;1;
SG3-02;2020-06-22;18:13:41;C. thous;1;husmeando los cebos. Muy oscuras
SG3-02;2020-06-22;22:12:12;zorro;1;muy oscuro
SG3-02;2020-06-23;3:43:46;C. thous;1;husmando los cebos. 
SG3-02;2020-06-23;13:08:07;T. rufiventris;1;
SG3-02;2020-06-23;22:49:00;C. thous;1;
SG3-02;2020-06-24;1:46:57;zorro;1;borrosa
SG3-02;2020-06-24;16:03:08;M. gouazoubira;1;borrosa
SG3-02;2020-06-24;18:02:31;zorro;1;borrosa. Diria C. thous.
SG3-02;2020-06-26;8:04:41;zorro;1;borrosa.
SG3-02;2020-06-26;15:30:47;M. gouazoubira;1;
SG3-02;2020-06-27;8:41:33;ave;1;
SG3-02;2020-06-27;13:11:15;T. rufiventris;1;
SG3-02;2020-06-27;14:05:21;paloma;2;2 individuos
SG3-02;2020-06-29;8:37:10;ave;1;
SG3-02;2020-06-29;16:58:13;ave;1;
SG3-02;2020-07-02;15:08:58;Aramides;1;cajanea o ypecaha??
SG3-02;2020-07-02;23:05:45;C. thous;1;
SG3-02;2020-07-03;9:14:23;ave;1;
SG3-02;2020-07-04;10:28:45;Aramides;1;parece mas ypecaha
SG4-02;2020-06-19;18:32:06;C. chinga;1;
SG4-02;2020-06-19;21:26:43;D. novemcinctus;1;
SG4-02;2020-06-20;3:28:59;C. chinga;1;
SG4-02;2020-06-20;11:21:56;L. europeus;1;
SG4-02;2020-06-20;20:04:16;C. thous;1;arancando presa de pollo (cebo)
SG4-02;2020-06-21;0:38:43;zorro;1;se ve borrosa pero diría C. thous
SG4-02;2020-06-22;3:24:23;C. chinga;1;
SG4-02;2020-06-23;19:02:44;L. gymnocerus;1;
SG4-02;2020-06-25;23:04:02;C. chinga;1;
SG4-02;2020-06-26;19:03:16;L. gymnocerus;1;
SG4-02;2020-06-26;19:44:23;L. gymnocerus;1;
SG4-02;2020-06-28;2:02:14;M. gouazoubira;1;
SG4-02;2020-06-29;0:08:48;armadillo;1;muy lejos y borrosa
SG4-02;2020-07-02;12:08:21;T. rufiventris;1;
SG4-02;2020-07-02;22:37:54;C. chinga;1;borrosa
SG4-02;2020-07-03;1:55:37;L. gymnocerus;1;
SG4-01;2020-06-19;11:07:57;T. rufiventris;1;
SG4-01;2020-06-19;11:18:40;Z. capensis;1;
SG4-01;2020-06-19;11:20:19;T. rufiventris;1;un minuto junto al anterior
SG4-01;2020-06-19;11:23:07;Z. capensis;1;
SG4-01;2020-06-19;11:45:25;Z. capensis;1;
SG4-01;2020-06-19;12:57:05;Z. capensis;1;
SG4-01;2020-06-19;13:14:13;Z. capensis;1;
SG4-01;2020-06-19;13:49:58;T. rufiventris;1;
SG4-01;2020-06-19;14:41:33;Z. capensis;1;
SG4-01;2020-06-19;21:56:01;Rodentia;1;ratóin viene por el suelo y trepa al árbol
SG4-01;2020-06-20;8:19:36;L. gymnocerus;1;
SG4-01;2020-06-20;10:59:57;Z. capensis;1;
SG4-01;2020-06-20;11:01:27;P. cabanisi;1;
SG4-01;2020-06-20;11:56:58;paloma;1;
SG4-01;2020-06-20;12:31:50;T. rufiventris;1;
SG4-01;2020-06-20;17:05:39;L. europeus;1;
SG4-01;2020-06-20;21:08:05;Rodentia;1;ratón viene por el suelo y trepa al árbol
SG4-01;2020-06-21;0:04:06;C. thous;1;huele mismo árbol donde se sube ratón
SG4-01;2020-06-21;1:57:04;C. thous;1;debe ser el mismo ind que vuelve a tratar de treparse al árbol varias veces, pasa por la cámara hasta las 02:18
SG4-01;2020-06-21;4:10:32;C. thous;1;
SG4-01;2020-06-21;9:30:07;Z. capensis;1;
SG4-01;2020-06-21;11:59:28;Z. capensis;2;2 individuos
SG4-01;2020-06-21;21:36:44;Rodentia;1;Ratón
SG4-01;2020-06-22;1:02:37;C. thous;1;
SG4-01;2020-06-22;9:13:06;Z. capensis;1;
SG4-01;2020-06-22;9:59:15;Z. capensis;2;en momentos 2 ind
SG4-01;2020-06-22;12:37:43;Paloma;1;
SG4-01;2020-06-22;13:08:20;Z. capensis;1;2 individuos
SG4-01;2020-06-22;13:41:40;T. rufiventris;1;
SG4-01;2020-06-22;21:54:18;Rodentia;1;Ratón
SG4-01;2020-06-22;23:02:48;C. thous;1;
SG4-01;2020-06-22;23:20:18;L. geoffroyi;1;
SG4-01;2020-06-23;9:43:04;Z. capensis;2;en momentos 2 ind
SG4-01;2020-06-23;10:22:43;Z. capensis;1;
SG4-01;2020-06-23;12:21:51;Z. capensis;1;
SG4-01;2020-06-23;15:59:06;Z. capensis;1;
SG4-01;2020-06-24;9:57:27;Z. capensis;1;
SG4-01;2020-06-24;10:44:38;Z. capensis;1;
SG4-01;2020-06-24;12:02:22;Z. capensis;1;
SG4-01;2020-06-24;15:24:53;Z. capensis;1;
SG4-01;2020-06-24;19:20:48;Rodentia;1;entre estas y las siguientes fotos debe estar el ratón pero no logro ver
SG4-01;2020-06-24;22:11:21;Rodentia;1;Raton
SG4-01;2020-06-24;23:58:58;C. thous;1;
SG4-01;2020-06-25;5:06:37;C. chinga;1;
SG4-01;2020-06-25;9:41:37;Z. capensis;2;en momentos 2 ind
SG4-01;2020-06-25;11:00:51;Z. capensis;1;
SG4-01;2020-06-25;23:24:51;C. thous;1;
SG4-01;2020-06-26;9:24:11;Z. capensis;1;
SG4-01;2020-06-26;13:37:48;Z. capensis;1;
SG4-01;2020-06-26;15:24:41;T. rufiventris;1;
